Country Name,Country Code,Year,GDP($),Solar Capacity (GW),Wind Capacity (GWp),Electricity from solar (TWh),Electricity from solar (GWh),Electricity from wind (TWh),Electricity from wind (GWh),Solar (% electricity),Wind (% electricity),solar energy capacity factor,wind energy capacity factor
Chile,CHL,2004,6120.59152052304,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
China,CHN,2004,1508.66791560781,0.0766,0.763,0.08,80.0,1.28,1280.0,0.0036309008,0.058094412,11.922219440371022,19.15055327145311
Denmark,DNK,2004,46625.050098011,0.002,3.1237120000000003,0.0,0.0,6.58,6580.0,0.0,16.27907,0.0,24.046440661348278
"Egypt, Arab Rep.",EGY,2004,991.255689145253,0.0006,0.15,0.0,0.0,0.52,520.0,0.0,0.54048437,0.0,39.5738203957382
France,FRA,2004,33644.9282220364,0.011,0.358,0.01,10.0,0.59,590.0,0.0017630776,0.10402157,10.377750103777501,18.81329557919441
Germany,DEU,2004,34566.7359143735,1.105,16.419,0.56,560.0,26.02,26020.0,0.09176116,4.2636166,5.785243496766462,18.090746298210586
Greece,GRC,2004,21449.2552764245,0.001,0.47,0.0,0.0,1.12,1120.0,0.0,1.9047619,0.0,27.2029534635189
India,IND,2004,624.258826510066,0.00781,3.813,0.02,20.0,5.23,5230.0,0.0028640165,0.7489403,29.233098883880288,15.657801297412
Italy,ITA,2004,31425.8208728669,0.031,1.127,0.03,30.0,1.85,1850.0,0.010175356,0.62748027,11.04728236853734,18.73888328410578
Japan,JPN,2004,38298.9801712303,1.132,0.769,1.19,1190.0,1.3,1300.0,0.11844922,0.1293983,12.00041951046356,19.298026850977667
Jordan,JOR,2004,1940.08641342805,1.5e-05,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, Rep.",KOR,2004,16496.1316167114,0.009,0.029,0.01,10.0,0.05,50.0,0.002888754,0.01444377,12.683916793505837,19.68193985199181
Mexico,MEX,2004,7849.66759649565,0.016,0.018,0.01,10.0,0.02,20.0,0.0045335027,0.0090670055,7.134703196347032,12.683916793505837
Morocco,MAR,2004,2183.55541992188,0.0091,0.054,0.0,0.0,0.2,200.0,0.0,1.1428572,0.0,42.27972264501945
Netherlands,NLD,2004,40611.3414353091,0.05,1.075,0.03,30.0,1.87,1870.0,0.02970003,1.8513018,6.8493150684931505,19.857704152065413
Pakistan,PAK,2004,771.902247348954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Philippines,PHL,2004,1099.63013023758,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Poland,POL,2004,6711.72715262967,0.0,0.04,0.0,0.0,0.14,140.0,0.0,0.09194799,,39.954337899543376
Portugal,PRT,2004,18064.1580932987,0.002,0.553,0.0,0.0,0.82,820.0,0.0,1.8295404,0.0,16.927180096939068
