location,year,total_energy_supply
JPN,1966,4.63
JPN,1967,3.4
JPN,1968,3.22
JPN,1969,2.86
JPN,1970,2.53
JPN,1971,2.71
JPN,1972,2.56
JPN,1973,1.86
JPN,1974,2.23
JPN,1975,2.38
JPN,1976,2.27
JPN,1977,1.98
JPN,1978,1.96
JPN,1979,2.19
JPN,1980,2.43
JPN,1981,2.46
JPN,1982,3.53
JPN,1983,3.7
JPN,1984,3.21
JPN,1985,3.54
JPN,1986,3.45
JPN,1987,3.33
JPN,1988,3.52
JPN,1989,3.49
JPN,1990,3.41
JPN,1991,3.54
JPN,1992,3.15
JPN,1993,3.32
JPN,1994,2.72
JPN,1995,3.14
JPN,1996,3.14
JPN,1997,3.29
JPN,1998,3.24
JPN,1999,3.1
JPN,2000,3.07
JPN,2001,3.0
JPN,2002,3.01
JPN,2003,3.26
JPN,2004,3.13
JPN,2005,3.03
JPN,2006,3.21
JPN,2007,3.06
JPN,2008,3.11
JPN,2009,3.21
JPN,2010,3.8
JPN,2011,4.14
JPN,2012,4.09
JPN,2013,4.38
JPN,2014,4.84
JPN,2015,5.28
KOR,1960,
KOR,1961,
KOR,1962,
KOR,1963,
KOR,1964,
KOR,1965,
KOR,1966,
KOR,1967,
KOR,1968,
KOR,1969,
KOR,1970,
KOR,1971,0.67
KOR,1972,0.64
KOR,1973,0.51
KOR,1974,0.7
KOR,1975,0.59
KOR,1976,0.57
KOR,1977,0.38
KOR,1978,0.45
KOR,1979,0.5
KOR,1980,0.41
KOR,1981,0.57
KOR,1982,0.4
KOR,1983,0.5
KOR,1984,0.41
KOR,1985,0.59
KOR,1986,0.57
KOR,1987,0.7
KOR,1988,0.41
KOR,1989,0.5
KOR,1990,1.08
KOR,1991,0.62
KOR,1992,0.47
KOR,1993,0.46
KOR,1994,0.28
KOR,1995,0.3
KOR,1996,0.39
KOR,1997,0.4
KOR,1998,0.53
KOR,1999,0.45
KOR,2000,0.4
KOR,2001,0.41
KOR,2002,0.41
KOR,2003,0.5
KOR,2004,0.46
KOR,2005,0.51
KOR,2006,0.55
KOR,2007,0.59
KOR,2008,0.6
KOR,2009,0.66
KOR,2010,0.72
KOR,2011,0.74
KOR,2012,0.86
KOR,2013,1.01
KOR,2014,1.46
KOR,2015,1.47
LUX,1960,0.05
LUX,1961,0.15
LUX,1962,0.12
LUX,1963,0.01
LUX,1964,0.18
LUX,1965,0.24
LUX,1966,0.22
LUX,1967,0.24
LUX,1968,0.23
LUX,1969,0.18
LUX,1970,0.2
LUX,1971,0.12
LUX,1972,0.13
LUX,1973,0.09
LUX,1974,0.15
LUX,1975,0.16
LUX,1976,0.1
LUX,1977,0.42
LUX,1978,0.39
LUX,1979,0.45
LUX,1980,0.53
LUX,1981,0.64
LUX,1982,0.63
LUX,1983,0.66
LUX,1984,0.65
LUX,1985,0.62
LUX,1986,0.58
LUX,1987,0.74
LUX,1988,0.76
LUX,1989,0.65
LUX,1990,0.54
LUX,1991,0.54
LUX,1992,0.95
LUX,1993,0.91
LUX,1994,0.99
LUX,1995,1.1
LUX,1996,0.93
LUX,1997,1.08
LUX,1998,1.22
LUX,1999,1.11
LUX,2000,1.16
LUX,2001,1.14
LUX,2002,1.04
LUX,2003,1.06
LUX,2004,1.17
LUX,2005,1.64
LUX,2006,1.76
LUX,2007,3.05
LUX,2008,3.17
LUX,2009,3.16
LUX,2010,3.04
LUX,2011,3.0
LUX,2012,3.38
LUX,2013,3.96
LUX,2014,4.98
LUX,2015,5.22
MEX,1960,
MEX,1961,
MEX,1962,
MEX,1963,
MEX,1964,
MEX,1965,
MEX,1966,
MEX,1967,
MEX,1968,
MEX,1969,
MEX,1970,
MEX,1971,16.77
MEX,1972,15.41
MEX,1973,14.72
MEX,1974,14.58
MEX,1975,13.61
MEX,1976,13.11
MEX,1977,12.53
MEX,1978,11.28
MEX,1979,11.09
MEX,1980,9.58
MEX,1981,9.57
MEX,1982,9.39
MEX,1983,9.92
MEX,1984,9.97
MEX,1985,9.99
MEX,1986,11.36
MEX,1987,11.71
MEX,1988,11.73
MEX,1989,11.49
MEX,1990,12.12
